name,country
Kruger Mpumalanga International Airport,South Africa
Polokwane International Airport,South Africa
Vilankulo Airport,Mozambique
Pierre Van Ryneveld Airport,South Africa
Vaclav Havel Airport Prague,Czech Republic
Hannover Airport,Germany
Linkoeping City Airport,Sweden
Addis Ababa Bole International Airport,Ethiopia
Lubumbashi International Airport,Democratic Republic of Congo
Djibouti-Ambouli Airport,Djibouti
Del Bajio International Airport,Mexico
Bujumbura International Airport,Burundi
Kigali International Airport,Rwanda
Enua Airport,Cook Islands
Mangaia Island Airport,Cook Islands
Mitiaro Island Airport,Cook Islands
Mauke Airport,Cook Islands
Val de Cans/Julio Cezar Ribeiro International Airport,Brazil
Anqing Tianzhushan Airport,China
Changzhi Airport,China
Zhoushuizi Airport,China
Nanchang Changbei International Airport,China
Ganzhou Airport,China
Lianyungang Airport,China
Liuzhou Bailian Airport,China
Shanghai Hongqiao International Airport,China
Sanya Phoenix International Airport,China
Wuhan Tianhe International Airport,China
Xiangyang Liuji Airport,China
Beira Airport,Mozambique
Guarulhos - Governador Andre Franco Montoro International Airport,Brazil
Fresno Yosemite International Airport,United States
JAGS McCartney International Airport,Turks and Caicos Islands
Uray Airport,Russia
Sochi International Airport,Russia
Chisinau International Airport,Moldova
Henri Coanda International Airport,Romania
Canyonlands Field,United States
Elko Regional Airport,United States
Gillette Campbell County Airport,United States
Southwest Wyoming Regional Airport,United States
Joslin Field Magic Valley Regional Airport,United States
Vernal Regional Airport,United States
Samana El Catey International Airport,Dominican Republic
Gregorio Luperon International Airport,Dominican Republic
Altamira Airport,Brazil
Itaituba Airport,Brazil
Monte Dourado Airport,Brazil
Maestro Wilson Fonseca Airport,Brazil
Dubrovnik Airport,Croatia
Osijek Airport,Croatia
Rijeka Airport,Croatia
Zagreb Airport,Croatia
Darwin International Airport,Australia
Elcho Island Airport,Australia
Gove Airport,Australia
Groote Eylandt Airport,Australia
Milingimbi Airport,Australia
Maningrida Airport,Australia
Quelimane Airport,Mozambique
Lichinga Airport,Mozambique
California Redwood Coast-Humboldt County Airport,United States
Meadows Field,United States
Jack Mc Namara Field Airport,United States
Chico Municipal Airport,United States
Mc Clellan-Palomar Airport,United States
Mahlon Sweet Field,United States
Laramie Regional Airport,United States
Crater Lake-Klamath Regional Airport,United States
Modesto City Co-Harry Sham Field,United States
Monterey Peninsula Airport,United States
Pueblo Memorial Airport,United States
Redding Municipal Airport,United States
Roberts Field,United States
Santa Barbara Municipal Airport,United States
San Luis County Regional Airport,United States
Seattle Tacoma International Airport,United States
Santa Maria Pub/Capt G Allan Hancock Field,United States
Yuma MCAS/Yuma International Airport,United States
Barreiras Airport,Brazil
Presidente Juscelino Kubistschek International Airport,Brazil
Afonso Pena Airport,Brazil
Pampulha - Carlos Drummond de Andrade Airport,Brazil
Santos Dumont Airport,Brazil
Prof. Eribelto Manoel Reino State Airport,Brazil
Deputado Luiz Eduardo Magalhaes International Airport,Brazil
Ten. Cel. Aviador Cesar Bombonato Airport,Brazil
Vitoria da Conquista Airport,Brazil
Riverton Regional Airport,United States
Sheridan County Airport,United States
Warsaw Chopin Airport,Poland
Campo Grande Airport,Brazil
Viracopos International Airport,Brazil
Zumbi dos Palmares Airport,Brazil
Santa Maria Airport,Portugal
Tancredo Neves International Airport,Brazil
Hercilio Luz International Airport,Brazil
Pinto Martins International Airport,Brazil
Rio Galeo Tom Jobim International Airport,Brazil
Cataratas International Airport,Brazil
Mario Ribeiro Airport,Brazil
Ministro Victor Konder International Airport,Brazil
Salgado Filho Airport,Brazil
Eurico de Aguiar Salles Airport,Brazil
Copernicus Wroclaw Airport,Poland
